Id;Stanice;Km;Long;Lati
7;Chornice;40.5;16.7456994448768;49.6760733328925
1;Trutnov hl.n.;124.8;15.9061605554157;50.567672777772
8;Mezihori;43.8;16.7420797220866;49.7032899999619
9;Nectava;36.9;16.7804597218831;49.6574047221078
10;Subirov;32.4;16.8173749999868;49.6268058331807
11;Jevicko;6.1;16.7299691666497;49.6323680559794
12;Biskupice u Jev.;3.6;16.7449427774217;49.6496991666158
14;Mestecko Trnavka;45.8;16.724750000106;49.714437221951
15;Rozstani;47.6;16.7302966668871;49.7281947220696
16;Mladejov na M.;66.4;16.5885072220696;49.8260391669803
17;Anenska Studanka;70.8;16.5565416664547;49.8545577780406
18;Kuncina;61;16.6379505554835;49.7962866666582
19;Trpik;69.3;16.5696647222837;49.8451622221205
20;Moravska Trebova;56.6;16.6663583331638;49.7668486111032
21;Linhartice;52.5;16.7129055553012;49.7519238889217
22;Kralovec st.hr.;62.1;15.9847186111079;50.6862305556403
23;Lichkov st.hr.;113.2;16.6911761109034;50.0985025003221
24;Mezimesti st.hr.;92.8;16.2203291667832;50.6363586110539
26;Prevysov;18.3;15.407177500195;50.1523847222328
27;Chlumec n.C.;22.8;15.4580369446013;50.1632452774048
28;N.Mesto n.C.;3.8;15.5037719445758;50.150406666663
29;Karanice;8.1;15.5616813892788;50.1551597224342
30;Dobrenice;14.9;15.6559783331553;50.159619167116
31;Kratonohy;11.6;15.6106338893043;50.1575299999449
32;Lhota p.Libc.;17.9;15.6959311114417;50.1666344441308
33;Praskacka;20.6;15.7323555554284;50.1754058334562
34;Hradec Kralove hl.n.;22.4;15.8103944439358;50.2165480560727
35;Hr.Kralove-Kukleny;26.3;15.7981227779388;50.2020636110836
36;Hr.Kralove-Sl.Pr.;32.2;15.856356944508;50.2219441668193
37;Hr.Kralove zast.;30.9;15.8413827779558;50.2224400001102
38;Trebechovice p.Or.;41.4;15.9786252774133;50.2015016667048
39;Blesno;37.7;15.9358952776591;50.2147327772776
40;Tyniste n.Orl.;49.8;16.0746638891432;50.1543658333355
41;Petrov.n.Orl.;46.9;16.046060555776;50.1737433332867
42;Castolovice;57.7;16.173788333469;50.1284544446733
43;Cestice;55.8;16.1477783330282;50.1303372224172
44;Castolovice zast.;1.2;16.190552500089;50.1276386112637
45;Synkov;3.8;16.2182458333174;50.1392919445038
46;Kostelec n.Orl.;61.7;16.2215169445674;50.117670833336
47;Kostelec n.Orl.m.;60.3;16.2054519446691;50.1197322222922
48;Doudleby n.Orl.;64.3;16.2602294445038;50.1090866671668
49;Zamel;67.3;16.2970486111111;50.100170277771
50;Potstejn;69.7;16.315278055403;50.083793611096
51;Sopotnice;72.4;16.3404080555174;50.0705022221141
52;Litice n.Orl.;75.1;16.3581136110094;50.0871774999301
53;Bohousova;76.9;16.379663611518;50.090854722129
54;Zamberk;83;16.4524122222265;50.0732994445165
55;Letohrad;90;16.5103013886346;50.0305930550893
56;Lukavice v C.;87.1;16.4840536110931;50.0493725003136
57;Vermerovice;95.1;16.5576969443427;50.0114811113146
58;D.Dobrouc;3.6;16.4743555556403;50.0125719441308
59;Hnatnice;5.2;16.4615124999152;50.0016933333874
60;Lansperk;6.6;16.4468294440375;49.9924047226376
61;D.Libchavy;10.7;16.397113333808;49.9893902778626
62;Jablonne n.Orl.;99.3;16.5946341662937;50.0263833332062
63;Jamne n.Orl.;101;16.6027122222053;50.0400455554326
64;Techonin;104.7;16.6076977777481;50.068518055545
65;Lichkov;110.8;16.6601855553521;50.0975605551402
66;Cernovir;8.4;16.4270452774896;49.987050277657
67;Mladkov;108.2;16.6297769440545;50.0922416665819
68;D.Lipka;90.3;16.7212086110645;50.0894427776337
69;Prostredni Lipka;86.6;16.7543219444487;50.0989888890584
70;Cerveny Potok;84.2;16.7837199999889;50.104725833469
71;Recany n.L.;326.2;15.4772408337063;50.0316102780236
72;Kraliky zast.;2.1;16.7488958337572;50.0867200001081
73;Kojice;332.2;15.397082778083;50.0408755556742
74;Kraliky;3.1;16.7560841666328;50.0812872219086
75;Chvaletice;330.6;15.4189125000106;50.037471666601
76;D.Orlice;4.9;16.7473630555471;50.0656041664547
77;Prelouc;319.1;15.5764122221205;50.0390702777439
78;Cervena Voda;7.3;16.7464894443088;50.047165555954
79;Lhota p.Prel.;322.7;15.5276075002882;50.0367441667451
80;Moravsky Karlov;9.8;16.7527938887808;50.0265594440036
81;Valy u Prel.;316.1;15.6143291664124;50.0318891663022
82;Bila Voda;10.9;16.7476069439782;50.0173502777682
83;Mlynicky Dvur;12.5;16.7477841663361;50.004427500036
84;Broumov;10;16.3453183333079;50.5695516665777
85;Pardubice hl.n.;305.7;15.7595755555895;50.0316555553012
86;Pardubice-Opocinek;312.1;15.6683738888635;50.0306108336978
87;Otovice zast.;14.7;16.3869930556085;50.560096666548
88;Pardubice-Svitkov;308.1;15.7240075000127;50.0319411108229
89;Otovice;13.5;16.3720158333249;50.5611805555556
90;Pardubice-Pardub.;303.5;15.7893444442749;50.0312197219001
91;Broumov-Olivetin;6.9;16.3284388891856;50.6077216667599
92;Kostenice;295.3;15.8977691671583;50.0128127776252
93;Pardubice-C.za B.;300.4;15.8306191666921;50.0274116664463
94;Moravany;291.7;15.9473352781932;50.0019994444317
95;Uhersko;286.5;16.0159316666921;49.9871819443173
96;Zamrsk;279.7;16.1135980553097;49.9954788886176
97;Sedlistka;282.9;16.0641680558523;49.9900916666455
98;Mezimesti;90.8;16.2423883332147;50.6265200000339
99;Dobrikov u Choc.;277.7;16.1363716665904;49.9957716666328
100;Hyncice;3.3;16.2887797223197;50.6243133332994
101;Ruprechtice;1.8;16.2680491667324;50.6248627779219
102;Brezova u Broum.;87.5;16.2347930555873;50.6048605553309
103;Bohdasin;85.5;16.2107949998644;50.5968819448683
104;Teplice n.Met.;82.4;16.1794199996524;50.582052499983
105;C.Metuje;78.3;16.1847080555227;50.552324722343
106;Dedov;79.4;16.1879269446267;50.5616505559285
107;Police n.Met.;72.9;16.2120313888126;50.5115733337402
108;Zdar n.Met.;75.7;16.2041300000085;50.537393055492
109;Chocen;271;16.2232972224553;49.9936461109585
110;Hronov;67.4;16.1783483335707;50.4702219443851
111;Sruby;275.1;16.1711002779007;49.9898388889101
112;Hronov zast.;69.5;16.1860611110263;50.4900919442707
113;Dvorisko;2.5;16.1921052779092;49.9842477777931
114;Nachod;60.1;16.1758569441901;50.4182850000593
115;Brandys n.Orl.;266.2;16.2840502778027;50.000228611115
116;Nachod-Male Porici;63.7;16.1926319440206;50.4415786112679
117;V.Porici;65.5;16.1854802778032;50.4570830557081
118;Bezpravi;262.3;16.332210000356;49.99764111095
119;Nachod-Beloves;62;16.1919638888041;50.4269036112891
120;Usti n.Orl.;256.6;16.3779625002543;49.9711488887999
121;Nachod zast.;58.4;16.1521255555418;50.4084813891517
122;Usti n.Orl.m.;255.3;16.3944827779134;49.9689088887639
123;Vaclavice;54.8;16.121465555297;50.3953986114926
124;N.Mesto n.Met.;49.8;16.1367980554369;50.3564074998432
125;Vrchoviny;51.8;16.14001027796;50.3709363889694
126;Bohuslavice n.Met.;45.3;16.0931808333927;50.3267808331384
127;C.Trebova;245.9;16.4493575000763;49.8962163893382
128;Cerncice;46.2;16.1055177778668;50.3344433333476
129;Dlouha Trebova;250.9;16.4216986110475;49.937675277657
130;Opocno p.Orl.h.;39.1;16.0857619444529;50.2788458336724
131;Trebovice v C.;6.2;16.4969430552589;49.8583369445801
132;Bohuslav.n.M.zast.;43.1;16.079554444419;50.3119205559624
133;Rudoltice v C.;14.4;16.571836944686;49.8927380551232
134;Pohori;40.7;16.0788869444529;50.2914530558056
135;Zichlinek;21.4;16.6551302777396;49.8603352779812
136;Krasikov;23.8;16.6869558334351;49.8488658332825
137;Tatenice;25.7;16.7055147224002;49.8553077777227
138;Lukova u Rud.v C.;17.1;16.6045755555895;49.8800838883718
139;Dobruska;0;16.1519386111365;50.2896805556615
140;Dobruska-Pulice;2.5;16.1213141669167;50.2844327777624
141;Bolehost;31.6;16.0647191662259;50.2170483333204
142;Ocelice;34.8;16.0632302782271;50.243522222307
143;Borohradek;16.3;16.0855547222826;50.0969422223833
144;Zdar n.Orl.;19.1;16.0672161111236;50.1191199999385
145;Cermna n.Orl.;11;16.1358150000042;50.0647627777523
146;Ujezd u Choc.;6.1;16.1778644445207;50.0322408337063
147;Plchuvky;7.5;16.1620391665565;50.0388658332825
148;Solnice;15.4;16.253959722254;50.2043255554305
149;Solnice zastavka;14.9;16.2561591667599;50.2002961111069
150;Rychnov n.Knez.;8.7;16.2740336110857;50.1573444445928
151;Rychnov n.Kn.zast.;9.7;16.2707683332761;50.1663722218408
152;Slemeno;5.7;16.2420755555895;50.1469238885244
153;Rokytnice v Orl.h.;19.5;16.4665875000424;50.1600433328417
155;Vamberk;2.6;16.2805391671922;50.1163858328925
156;Slatina n.Zdobnici;10.6;16.377078332901;50.1368461110857
157;Rybna n.Zdobnici;7.4;16.3431463887956;50.1274469439189
158;Peklo n.Zdobnici;4.4;16.3056730556488;50.1220630555683
159;Opatov;235.7;16.4879058334563;49.8130011113485
160;Semanin;239.5;16.4738827779558;49.8442211108738
161;Svitavy;229.4;16.4795391665565;49.7586377779643
162;Svitavy-Lacnov;233.2;16.4869711110327;49.7921683332655
163;Svitavy zast.;2.4;16.4550125000212;49.7635088888804
164;Pardubice-Ros.n.L.;2.7;15.7429144446055;50.0448497221205
165;Pardubice zavodis.;90;15.7509191666709;50.0245094442368
166;St.Jesencany;86.8;15.7570736111535;50.0001866666642
167;Chrudim;80.5;15.7870352776845;49.9479736116197
168;Medlesice;83.9;15.7667833333297;49.9762033335368
169;Chrudim zast.;81.9;15.7809372223748;49.9593861113654
170;Slatinany;76.2;15.8249702776803;49.9189750001166
171;Chrast u Chrudimi;68.5;15.9125872219933;49.9009255555603
172;Zajecice;71.1;15.879588889016;49.9005394444532
173;Horka u Chrudimi;66;15.9116780556573;49.8821552774641
174;Zdarec u Skutce;55.1;15.9787802780999;49.8254149998559
175;Vrbatuv Kostelec;60.2;15.9371630554729;49.8550275002586
176;Prosetin;56.7;15.9618933338589;49.8325497224596
177;Pokrikov;48;15.9813752778371;49.7935380554199
178;Hlinsko v C.;39.4;15.9007066666418;49.7662691667345
179;Vojtechov;47;15.9719802776972;49.7920344442791
180;Holetin;42.9;15.9272969447242;49.7881280554665
183;Borova u Pol.zast.;26.8;16.1745458332698;49.7318308332231
184;Skutec;49.5;15.9941125000848;49.837443611092
185;Predhradi;46.7;16.018521111144;49.8242616664039
186;Cachnov;36.9;16.0582522222731;49.7531325001187
187;Krouna;40.7;16.036846666601;49.7784483337402
188;Pusta Kamenice;35.1;16.0816875002119;49.7545530557632
189;Policka;19.3;16.2622130552928;49.7190627778901
190;Borova u Policky;28.4;16.1615311113993;49.7431400002374
191;Oldris;25.2;16.1941727775998;49.728427500195
192;Sadek u Policky;23.1;16.2149274995592;49.7177947221862
193;Pomezi zast.;17.1;16.2910366667642;49.7212272220188
194;Pomezi;14.5;16.325455833541;49.7207416666879
195;Kvetna;11.2;16.3684966666169;49.729594722324
196;Vendoli zast.;8.6;16.3954108333588;49.7366702776485
197;Vendoli;6.7;16.4124705558353;49.7455130555895
198;Pus.Kamenice zast.;34;16.0928499995338;49.7524844445123
199;Kvetna zast.;12.2;16.3545094442368;49.7268658330706
200;Krouna zast.;41.7;16.0350308333503;49.7862608332104
201;Litomysl zast.;22.5;16.2927747217814;49.8813172223833
202;Litomysl;23.7;16.3048119444317;49.8744794442919
203;Litomysl-Nedosin;21.3;16.279796110789;49.885842777888
204;Trzek;19.7;16.2595905558268;49.890036110878
205;Ridky;18.8;16.2468591668871;49.8917525000042
206;Cerekvice n.Louc.;15.2;16.2077963887321;49.9053230555852
207;Cerekv.n.Louc.zast;16.4;16.218727777799;49.9009813888868
208;Hrusova;14.3;16.1965925004747;49.9111705557505
209;Vys.Myto;7.8;16.1471105554369;49.9555094443427
210;Dzbanov;12;16.1740388891432;49.9253236113654
211;Vys.Myto m.;8.7;16.1556891669167;49.9506583333016
212;Slatina u Vys.Myta;4.8;16.1633149994744;49.974985833168
213;Lanskroun;4.1;16.6036233332422;49.909349167082
221;Jicin;17.5;15.3616147221459;50.4278586112128
223;Jicin zast.;2.7;15.3809016662174;50.4505261111259
227;Butoves;9.5;15.425421388944;50.3881786113315
228;Holice;38.7;15.9927533329858;50.0697330554326
229;Vitineves;13.1;15.3807288890415;50.3993594445123
230;Holice zast.;42.4;16.0344091666407;50.0818766668108
231;Kovac;6.2;15.4692836109797;50.392342499627
232;Roven;33.7;15.9696630554729;50.0289794445038
233;Ostromer;49.1;15.5456841670142;50.3691605554687
234;Platenice;31.3;15.961494167116;50.0090477773878
235;Vojice;4;15.4980230553945;50.3844233333402
236;Chrudim m.;13.5;15.7904783333672;49.9575622224808
237;Sobcice;2.2;15.5185474999746;50.3754024998347
238;Vejvanovice;20.6;15.8733047220442;49.9730336109797
239;Uhretice;19.7;15.8625291665395;49.9773316669464
240;Horice v Podkrk.;26.3;15.6333519444449;50.3559827778074
241;Tunechody;18.6;15.8497611109416;49.9744536113739
242;Dobra Voda u Hor.;28.6;15.6097444449531;50.345911110772
243;Topol;16.7;15.8321688885159;49.9675855555799
245;Bylany;8.2;15.7328941663106;49.9559988890754
247;Hrochuv Tynec;23.8;15.9078174999025;49.9662994448344
248;Cerekvice n.Bystr.;18.9;15.7168297222257;50.3255152776506
249;Borice;26;15.9222466664844;49.9804816669888
250;Sadova;14.3;15.6943516667684;50.2957694445716
251;Hnevceves;17.1;15.7209244444635;50.3109580559201
252;Dohalice;12.3;15.6958069441054;50.2829747221205
253;Vsestary;5.6;15.7647375000848;50.2524825000763
254;Dlouhe Dvory;8.8;15.7259605556064;50.2616858334012
255;Plotiste n.L.;2.8;15.7926252778371;50.2349055555132
256;Liban;4;15.2154813893636;50.3563925001356
257;Ledkov;1.6;15.2358330554432;50.3446202776167
258;Jenikovice;9.9;15.6560836108526;49.9810388893551
259;Detenice;7.7;15.1760547224681;50.3731877777312
260;Hermanuv Mestec;13.5;15.6583933332231;49.9516583332751
261;Osenice;9.1;15.1631897226969;50.3696686111556
262;Valy u Prel.zast.;3.1;15.6139327780406;50.0308680555556
263;Rokytnany;11.3;15.1339233333535;50.3680130555895
264;Veseli u Prel.;5;15.6233230553733;50.0171450000008
265;Choltice;8.5;15.6455433336894;49.9882230557336
266;Rozhovice;5.6;15.7100658331977;49.9698325000869
267;Klesice;3.2;15.6843744444185;49.9654194439782
268;Prachovice;21.2;15.6331480556064;49.8929763889313
269;Kostelec u Her.M.;17.4;15.6505680555767;49.9213072220484
