id;sensor_id;time;m3
12899;1;2018-06-01 01:00:00;0.0000
12901;1;2018-06-01 02:00:00;0.0000
12903;1;2018-06-01 03:00:00;0.0000
12904;2;2018-06-01 01:00:00;0.0000
12905;1;2018-06-01 04:00:00;0.0000
12906;2;2018-06-01 02:00:00;0.0020
12907;1;2018-06-01 05:00:00;0.0000
12908;2;2018-06-01 03:00:00;0.0000
12909;1;2018-06-01 06:00:00;0.0000
12910;2;2018-06-01 04:00:00;0.0015
12911;2;2018-06-01 05:00:00;0.0000
12912;1;2018-06-01 07:00:00;0.0000
12913;2;2018-06-01 06:00:00;0.0000
12914;1;2018-06-01 08:00:00;0.0000
12915;2;2018-06-01 07:00:00;0.0215
12916;1;2018-06-01 09:00:00;0.0000
12917;1;2018-06-01 10:00:00;0.0005
12918;2;2018-06-01 08:00:00;0.0175
12919;1;2018-06-01 11:00:00;0.0000
12920;2;2018-06-01 09:00:00;0.0035
12921;2;2018-06-01 10:00:00;0.0365
12922;2;2018-06-01 11:00:00;0.0620
12923;1;2018-06-01 12:00:00;0.0000
12924;2;2018-06-01 12:00:00;0.0370
12925;1;2018-06-01 13:00:00;0.0000
12926;2;2018-06-01 13:00:00;0.0705
12927;1;2018-06-01 14:00:00;0.0000
12928;2;2018-06-01 14:00:00;0.0000
12929;1;2018-06-01 15:00:00;0.0000
12930;2;2018-06-01 15:00:00;0.0000
12931;1;2018-06-01 16:00:00;0.0000
12932;2;2018-06-01 16:00:00;0.0055
12933;1;2018-06-01 17:00:00;0.0000
12934;2;2018-06-01 17:00:00;0.0000
12935;1;2018-06-01 18:00:00;0.0000
12936;2;2018-06-01 18:00:00;0.0095
12937;1;2018-06-01 19:00:00;0.0000
12938;2;2018-06-01 19:00:00;0.0160
12939;1;2018-06-01 20:00:00;0.0000
12940;2;2018-06-01 20:00:00;0.0045
12941;1;2018-06-01 21:00:00;0.0000
12942;2;2018-06-01 21:00:00;0.0070
12943;1;2018-06-01 22:00:00;0.0000
12944;2;2018-06-01 22:00:00;0.0035
12945;1;2018-06-01 23:00:00;0.0000
12946;2;2018-06-01 23:00:00;0.0115
12947;1;2018-06-02 00:00:00;0.0000
12948;2;2018-06-02 00:00:00;0.0000
12949;1;2018-06-02 01:00:00;0.0000
12950;2;2018-06-02 01:00:00;0.0000
12951;1;2018-06-02 02:00:00;0.0000
12952;2;2018-06-02 02:00:00;0.0000
12953;1;2018-06-02 03:00:00;0.0000
12954;2;2018-06-02 03:00:00;0.0000
12955;1;2018-06-02 04:00:00;0.0000
12956;2;2018-06-02 04:00:00;0.0000
12957;1;2018-06-02 05:00:00;0.0000
12958;2;2018-06-02 05:00:00;0.0025
12959;1;2018-06-02 06:00:00;0.0000
12960;2;2018-06-02 06:00:00;0.0075
12961;1;2018-06-02 07:00:00;0.0000
12962;2;2018-06-02 07:00:00;0.0150
12963;1;2018-06-02 08:00:00;0.0000
12964;2;2018-06-02 08:00:00;0.0135
12965;1;2018-06-02 09:00:00;0.0000
12966;2;2018-06-02 09:00:00;0.0015
12967;2;2018-06-02 10:00:00;0.0080
12968;2;2018-06-02 11:00:00;0.0310
12969;2;2018-06-02 12:00:00;0.0095
12970;2;2018-06-02 13:00:00;0.0320
12971;1;2018-06-02 10:00:00;0.0000
12972;1;2018-06-02 11:00:00;0.0000
12973;1;2018-06-02 12:00:00;0.0000
12974;1;2018-06-02 13:00:00;0.0000
12975;2;2018-06-02 14:00:00;0.0050
12976;1;2018-06-02 14:00:00;0.0000
12977;1;2018-06-02 15:00:00;0.0000
12978;2;2018-06-02 15:00:00;0.0070
12979;1;2018-06-02 16:00:00;0.0000
12980;2;2018-06-02 16:00:00;0.0205
12981;2;2018-06-02 17:00:00;0.0030
12982;2;2018-06-02 18:00:00;0.0090
12983;2;2018-06-02 19:00:00;0.0205
12984;2;2018-06-02 20:00:00;0.0035
